Variable,Producing Days,Available Values,Coverage Fraction,First Available Date,Last Available Date
ON_STREAM_HRS,2724,2724,1.0,2008-07-13,2016-07-13
AVG_DOWNHOLE_PRESSURE,2724,2718,0.9978,2008-07-13,2016-07-13
AVG_DOWNHOLE_TEMPERATURE,2724,2718,0.9978,2008-07-13,2016-07-13
AVG_DP_TUBING,2724,2718,0.9978,2008-07-13,2016-07-13
AVG_ANNULUS_PRESS,2724,2225,0.8168,2008-07-13,2016-07-13
AVG_CHOKE_SIZE_P,2724,2724,1.0,2008-07-13,2016-07-13
AVG_WHP_P,2724,2724,1.0,2008-07-13,2016-07-13
AVG_WHT_P,2724,2724,1.0,2008-07-13,2016-07-13
DP_CHOKE_SIZE,2724,2724,1.0,2008-07-13,2016-07-13
BORE_OIL_VOL,2724,2724,1.0,2008-07-13,2016-07-13
BORE_GAS_VOL,2724,2724,1.0,2008-07-13,2016-07-13
BORE_WAT_VOL,2724,2724,1.0,2008-07-13,2016-07-13
