Date,t_months,Deterministic Rate Sm3/d,Rate P90 Sm3/d,Rate P50 Sm3/d,Rate P10 Sm3/d
2016-04-01,35.000000,127.462318,121.553298,127.255596,133.504923
2016-05-01,36.000000,120.508558,114.761318,120.311190,126.408883
2016-06-01,37.000000,113.934164,108.317908,113.736243,119.673074
2016-07-01,38.000000,107.718439,102.241456,107.532077,113.320462
2016-08-01,39.000000,101.841815,96.515569,101.659056,107.307620
2016-09-01,40.000000,96.285793,91.086908,96.116375,101.620859
2016-10-01,41.000000,91.032881,85.962802,90.878763,96.232859
2016-11-01,42.000000,86.066545,81.139941,85.927120,91.116920
2016-12-01,43.000000,81.371149,76.590497,81.240663,86.281905
2017-01-01,44.000000,76.931912,72.285715,76.812700,81.707772
2017-02-01,45.000000,72.734860,68.225600,72.621142,77.379424
2017-03-01,46.000000,68.766780,64.396676,68.661430,73.270039
2017-04-01,47.000000,65.015180,60.784692,64.920325,69.382382
2017-05-01,48.000000,61.468250,57.382100,61.379891,65.684636
2017-06-01,49.000000,58.114824,54.165596,58.029785,62.200425
2017-07-01,50.000000,54.944346,51.124670,54.864981,58.904230
2017-08-01,51.000000,51.946834,48.258081,51.872007,55.781807
2017-09-01,52.000000,49.112853,45.552956,49.039915,52.820351
2017-10-01,53.000000,46.433481,42.995700,46.365130,50.024215
2017-11-01,54.000000,43.900283,40.587459,43.831027,47.361452
2017-12-01,55.000000,41.505285,38.308763,41.437612,44.849863
2018-01-01,56.000000,39.240947,36.157582,39.174873,42.476729
2018-02-01,57.000000,37.100141,34.130534,37.034864,40.231679
2018-03-01,58.000000,35.076128,32.213935,35.013572,38.100128
2018-04-01,59.000000,33.162535,30.407554,33.102865,36.080169
2018-05-01,60.000000,31.353339,28.699786,31.295395,34.165270
2018-06-01,61.000000,29.642845,27.092603,29.589859,32.353279
2018-07-01,62.000000,28.025667,25.574434,27.973577,30.639998
2018-08-01,63.000000,26.496715,24.143699,26.447556,29.018283
2018-09-01,64.000000,25.051176,22.788532,25.003445,27.481342
2018-10-01,65.000000,23.684499,21.506205,23.637037,26.022497
2018-11-01,66.000000,22.392381,20.297636,22.348752,24.644026
2018-12-01,67.000000,21.170756,19.161304,21.130153,23.342283
2019-01-01,68.000000,20.015776,18.087783,19.977285,22.106688
2019-02-01,69.000000,18.923807,17.073815,18.885566,20.938825
2019-03-01,70.000000,17.891411,16.118286,17.856268,19.830806
2019-04-01,71.000000,16.915338,15.213364,16.881690,18.781087
2019-05-01,72.000000,15.992515,14.360626,15.961233,17.784651
2019-06-01,73.000000,15.120036,13.553882,15.090906,16.844058
2019-07-01,74.000000,14.295157,12.793080,14.268678,15.953085
2019-08-01,75.000000,13.515278,12.073958,13.489929,15.108162
2019-09-01,76.000000,12.777947,11.396199,12.753819,14.307455
2019-10-01,77.000000,12.080841,10.755546,12.058395,13.548840
2019-11-01,78.000000,11.421765,10.153332,11.399926,12.830467
2019-12-01,79.000000,10.798646,9.583630,10.778022,12.150012
2020-01-01,80.000000,10.209522,9.045484,10.189682,11.506449
2020-02-01,81.000000,9.652537,8.537629,9.633598,10.896296
2020-03-01,82.000000,9.125939,8.058364,9.108313,10.318088
2020-04-01,83.000000,8.628069,7.606305,8.611104,9.771037
2020-05-01,84.000000,8.157362,7.180109,8.141439,9.253606
2020-06-01,85.000000,7.712333,6.777810,7.697766,8.764250
2020-07-01,86.000000,7.291584,6.397348,7.278223,8.299108
2020-08-01,87.000000,6.893788,6.038684,6.881274,7.858628
2020-09-01,88.000000,6.517695,5.700194,6.506360,7.442111
2020-10-01,89.000000,6.162119,5.380730,6.151834,7.047896
2020-11-01,90.000000,5.825942,5.079172,5.815891,6.674247
2020-12-01,91.000000,5.508106,4.794243,5.498176,6.320320
2021-01-01,92.000000,5.207609,4.525118,5.198384,5.984924
2021-02-01,93.000000,4.923505,4.271100,4.915023,5.667277
2021-03-01,94.000000,4.654902,4.031342,4.647071,5.366445
