Test,File,Well,Run,MD m,TVD m,Header Step s,Samples,Time Start s,Time End s,Median dt s,Monotonic Time,Channels,AQAP Valid Fraction,Interpretation Blocks,Drawdown Start s,Buildup Start s,Buildup End s,Buildup Duration s,Drawdown Volume cc,Source Mobility mD/cP,Source Formation Pressure psi,Source Formation Pressure bar converted,Source Formation Pressure bar,Source Last Buildup Pressure psi,Source Viscosity cP,Source Porosity %,Source 60s Slope,AQAP Window Min bar,AQAP Window Max bar,Pressure Drawdown Span bar
1,FM_PRESS_RAW_RUN5_MWD_1.LAS,15/9-F-14,5.0,3005.61,2862.61,0.0625,5486,0.0,342.8125,0.0625,True,58,1.0,2,168.125,175.5,272.5,97.0,14.74,31.5812,4142.573,285.62035391107173,286.63360391107176,4142.573,0.5,15.0,0.001464344,262.8759,286.6757,23.757703911071758
2,FM_PRESS_RAW_RUN5_MWD_2.LAS,15/9-F-14,5.0,3017.01,2867.33,0.0625,5326,0.0,332.8125,0.0625,True,58,1.0,2,159.25,166.625,266.8125,100.1875,14.74,157.248,4147.819,285.98205287850516,286.9953028785052,4147.819,0.5,15.0,0.001271125,282.7876,287.0152,4.207702878505188
3,FM_PRESS_RAW_RUN5_MWD_3.LAS,15/9-F-14,5.0,3031.01,2872.96,0.0625,5326,0.0,332.8125,0.0625,True,58,1.0,2,157.8125,165.125,266.1875,101.0625,14.71,1340.074,4149.875,286.12380908838753,287.13705908838756,4149.875,0.5,15.0,-0.00276197,286.6045,287.134,0.5325590883875861
4,FM_PRESS_RAW_RUN5_MWD_4.LAS,15/9-F-14,5.0,3110.01,2900.74,0.0625,5326,0.0,332.8125,0.0625,True,58,1.0,2,161.0625,168.5,268.875,100.375,14.74,3530.346,4186.871,288.6745934953959,289.68784349539595,4186.871,0.5,15.0,-0.001998993,288.3285,289.6901,1.3593434953959331
5,FM_PRESS_RAW_RUN5_MWD_5.LAS,15/9-F-14,5.0,3160.01,2914.99,0.0625,5326,0.0,332.8125,0.0625,True,58,1.0,2,160.375,167.75,268.25,100.5,14.74,263.8755,4172.26,287.66720050775405,288.6804505077541,4172.26,0.5,15.0,0.002666231,285.6907,288.6819,2.9897505077540814
6,FM_PRESS_RAW_RUN5_MWD_6.LAS,15/9-F-14,5.0,3178.01,2919.38,0.0625,5310,0.0,331.8125,0.0625,True,58,1.0,2,161.0625,168.4375,266.125,97.6875,14.73,210.4229,4187.338,288.7067920119402,289.7200420119402,4187.338,0.5,15.0,-0.0008856689,286.5268,289.7412,3.1932420119402423
7,FM_PRESS_RAW_RUN5_MWD_7.LAS,15/9-F-14,5.0,3199.71,2924.12,0.0625,5358,0.0,334.8125,0.0625,True,58,1.0,2,161.6875,168.9375,268.375,99.4375,14.74,156.0769,4191.732,289.0097476472628,290.02299764726286,4191.731,0.5,15.0,0.0009832466,285.7607,290.0484,4.262297647262869
8,FM_PRESS_RAW_RUN5_MWD_8.LAS,15/9-F-14,5.0,3290.01,2939.4,0.0625,5342,0.0,333.8125,0.0625,True,58,1.0,2,162.1875,169.625,270.4375,100.8125,14.7,317.3791,4215.104,290.62119032108166,291.6344403210817,4215.104,0.5,15.0,0.001991787,289.6165,291.7646,2.01794032108171
9,FM_PRESS_RAW_RUN5_MWD_9.LAS,15/9-F-14,5.0,3306.71,2942.7,0.0625,5358,0.0,334.8125,0.0625,True,58,1.0,2,156.9375,164.4375,262.6875,98.25,14.73,54.16903,4218.168,290.8324456844472,291.8456956844472,4218.168,0.5,15.0,-0.0008550936,279.4596,291.8945,12.386095684447184
10,FM_PRESS_RAW_RUN5_MWD_10.LAS,15/9-F-14,5.0,3464.71,2993.27,0.0625,5310,0.0,331.8125,0.0625,True,58,1.0,2,160.9375,169.375,269.8125,100.4375,14.75,24102.99,4266.858,294.18950300894824,295.20275300894826,4266.858,0.5,15.0,-0.01372607,295.1683,296.1559,0.034453008948275965
11,FM_PRESS_RAW_RUN5_MWD_11.LAS,15/9-F-14,5.0,3499.81,3008.26,0.0625,5822,0.0,363.8125,0.0625,True,58,1.0,2,193.75,200.75,300.4375,99.6875,14.72,6139.889,4281.765,295.21730447816856,296.2305544781686,4281.765,0.5,15.0,-0.002992236,295.9824,296.7907,0.24815447816860114
12,FM_PRESS_RAW_RUN5_MWD_12.LAS,15/9-F-14,5.0,3544.85,3030.15,0.0625,5806,0.0,362.8125,0.0625,True,58,1.0,2,192.1875,199.5625,299.1875,99.625,14.73,56.64592,4308.085,297.0320045968965,298.04525459689654,4308.085,0.5,15.0,-0.002398652,285.988,298.0919,12.057254596896541
13,FM_PRESS_RAW_RUN5_MWD_13.LAS,15/9-F-14,5.0,3588.06,3054.52,0.0625,5390,0.0,336.8125,0.0625,True,58,1.0,2,164.375,171.6875,270.875,99.1875,14.73,37.62953,4335.224,298.90317277782964,299.91642277782967,4335.224,0.5,15.0,0.000300851,281.3321,299.9627,18.58432277782964
14,FM_PRESS_RAW_RUN5_MWD_14.LAS,15/9-F-14,5.0,3643.01,3089.58,0.0625,5342,0.0,333.8125,0.0625,True,58,1.0,2,162.4375,169.8125,269.375,99.5625,14.74,16.52235,4373.852,301.5664796238108,302.5797296238108,4373.852,0.5,15.0,-0.003653009,242.4565,302.6352,60.1232296238108
