Test,MD m,TVD m,Pressure Channel,Initial Pressure bar,Minimum Drawdown Pressure bar,Final Buildup Pressure bar,Observed Drawdown bar,Observed Recovery bar,Source Formation Pressure bar,Final minus Source Pressure bar,Source Mobility mD/cP,Drawdown Duration s,Buildup Duration s,Vendor Qualified,Final minus Source bar,Predicted Pressure bar,Pressure Residual bar,Absolute Pressure Residual bar
1,3005.61,2862.61,AQAP_F,286.6282,262.9994,286.6268,23.6288,23.6274,286.6336,-0.0068,31.5812,7.375,97.0,True,-0.006799999999998363,286.2057434987256,0.4278565012743911,0.4278565012743911
2,3017.01,2867.33,AQAP_F,286.9803,282.6765,286.9818,4.3038,4.3053,286.9953,-0.0135,157.248,7.375,100.1875,True,-0.013499999999964984,286.5385104103441,0.456789589655898,0.456789589655898
3,3031.01,2872.96,AQAP_F,287.1158,286.6076,287.1234,0.5082,0.5158,287.1371,-0.0137,1340.074,7.3125,101.0625,True,-0.013699999999971624,286.9354336544992,0.20166634550076878,0.20166634550076878
4,3110.01,2900.74,AQAP_F,289.6797,289.5063,289.6743,0.1734,0.168,289.6878,-0.0135,3530.346,7.4375,100.375,True,-0.013499999999964984,288.8939643334743,0.7938356665256947,0.7938356665256947
5,3160.01,2914.99,AQAP_F,288.6713,285.5673,288.6672,3.104,3.0999,288.6805,-0.0133,263.8755,7.375,100.5,True,-0.013300000000015189,289.89861020011915,-1.2181102001191562,1.2181102001191562
6,3178.01,2919.38,AQAP_F,289.7186,286.3007,289.7081,3.4179,3.4074,289.72,-0.0119,210.4229,7.375,97.6875,True,-0.011900000000025557,290.2081116285101,-0.48811162851006884,0.48811162851006884
7,3199.71,2924.12,AQAP_F,290.019,285.6292,290.0108,4.3898,4.3816,290.023,-0.0122,156.0769,7.25,99.4375,True,-0.012200000000007094,290.5422885694152,-0.5192885694151528,0.5192885694151528
8,3290.01,2939.4,AQAP_F,291.6191,289.5515,291.6142,2.0676,2.0627,291.6344,-0.0202,317.3791,7.4375,100.8125,True,-0.020200000000045293,291.61955094431573,0.014849055684294399,0.014849055684294399
9,3306.71,2942.7,AQAP_F,291.8473,278.6297,291.8386,13.2176,13.2089,291.8457,-0.0071,54.169,7.5,98.25,True,-0.007100000000036744,291.8522057765914,-0.006505776591382073,0.006505776591382073
10,3464.71,2993.27,AQAP_F,296.1964,295.9919,295.183,0.2045,-0.8089,295.2028,-0.0198,24102.99,8.4375,100.4375,False,-0.019800000000032014,295.417464827555,-0.21466482755499783,0.21466482755499783
11,3499.81,3008.26,AQAP_F,296.8983,295.9994,296.2174,0.8989,0.218,296.2306,-0.0132,6139.889,7.0,99.6875,True,-0.013199999999983447,296.47428177780114,-0.2436817778011573,0.2436817778011573
12,3544.85,3030.15,AQAP_F,298.0415,285.5733,298.0428,12.4682,12.4695,298.0453,-0.0025,56.6459,7.375,99.625,True,-0.0024999999999977263,298.0175588318963,0.027741168103716518,0.027741168103716518
13,3588.06,3054.52,AQAP_F,299.8944,281.4109,299.9018,18.4835,18.4909,299.9164,-0.0146,37.6295,7.3125,99.1875,True,-0.014600000000029922,299.7356795175199,0.18072048248012607,0.18072048248012607
14,3643.01,3089.58,AQAP_F,302.5669,242.1704,302.5717,60.3965,60.4013,302.5797,-0.008,16.5224,7.375,99.5625,True,-0.007999999999981355,302.20746085678786,0.37223914321214124,0.37223914321214124
