Shut-in Time h,Horner Ratio,ln Horner Ratio,Pressure Exact bar,Pressure Observed bar,Horner Fit bar,Horner Fit Window
0.00100000,240001.00000000,12.38839837,265.31992019,265.33308198,265.29695405,0
0.00109855,218471.76105621,12.29441205,265.58270216,265.54817469,265.56028365,0
0.00120680,198873.80598534,12.20042576,265.84551568,265.82173064,265.82361314,0
0.00132573,181033.88865418,12.10643952,266.10835791,266.09676906,266.08694251,0
0.00145637,164794.30400201,12.01245333,266.37122625,266.40700951,266.35027174,0
0.00159989,150011.49392620,11.91846720,266.63411833,266.65990174,266.61360082,0
0.00175755,136554.77822698,11.82448112,266.89703199,266.92609617,266.87692973,0
0.00193075,124305.19939312,11.73049511,267.15996527,267.17865275,267.14025846,0
0.00212101,113154.47101625,11.63650916,267.42291639,267.41536965,267.40358700,0
0.00233003,103004.02053780,11.54252330,267.68588369,267.67084329,267.66691531,0
0.00255964,93764.11786659,11.44853752,267.94886569,267.93393597,267.93024338,0
0.00281188,85353.08216382,11.35455184,268.21186103,268.24496409,268.19357119,0
0.00308898,77696.55978360,11.26056626,268.47486846,268.43940354,268.45689871,0
0.00339338,70726.86698588,11.16658079,268.73788684,268.71705183,268.72022591,0
0.00372779,64382.39161152,11.07259545,269.00091513,269.00186582,268.98355276,0
0.00409514,58607.04843012,10.97861025,269.26395237,269.25395807,269.24687923,0
0.00449870,53349.78334594,10.88462520,269.52699770,269.52327976,269.51020527,0
0.00494202,48564.12207921,10.79064031,269.79005030,269.76015070,269.77353085,0
0.00542903,44207.75933296,10.69665560,270.05310944,270.03380164,270.03685592,0
0.00596404,40242.18481375,10.60267110,270.31617443,270.30716232,270.30018043,0
0.00655177,36632.34280027,10.50868681,270.57924464,270.60950589,270.56350432,0
0.00719741,33346.32225036,10.41470277,270.84231949,270.81586646,270.82682754,0
0.00790668,30355.07470708,10.32071899,271.10539844,271.09342940,271.09015001,0
0.00868585,27632.15751006,10.22673550,271.36848098,271.39637659,271.35347167,0
0.00954180,25153.50004203,10.13275233,271.63156664,271.61199383,271.61679243,0
0.01048209,22897.19094437,10.03876952,271.89465496,271.89644495,271.88011221,0
0.01151505,20843.28442043,9.94478709,272.15774552,272.13884879,272.14343091,0
0.01264981,18973.62391451,9.85080508,272.42083791,272.41864028,272.40674841,0
0.01389638,17271.68160765,9.75682354,272.68393176,272.66626862,272.67006462,0
0.01526580,15722.41231160,9.66284251,272.94702668,272.94621471,272.93337939,0
0.01677018,14312.12046914,9.56886204,273.21012230,273.21438101,273.19669258,0
0.01842280,13028.33908525,9.47488219,273.47321828,273.46947912,273.46000404,0
0.02023827,11859.71951872,9.38090302,273.73631424,273.69315932,273.72331360,0
0.02223266,10795.93116002,9.28692460,273.99940984,274.00621932,273.98662108,0
0.02442358,9827.57010867,9.19294699,274.26250471,274.29662415,274.24992626,0
0.02683040,8946.07604255,9.09897028,274.52559850,274.54831430,274.51322892,0
0.02947441,8143.65654468,9.00499457,274.78869081,274.77818299,274.77652881,0
0.03237897,7413.21821806,8.91101993,275.05178126,275.06376347,275.03982566,0
