Time h,Pressure Exact bar,Pressure Observed bar,Pressure Change bar,Log Pressure Derivative bar,Radial Flow Window
0.00100000,266.43060233,266.44520322,33.55479678,,0
0.00109322,266.18141283,266.13760904,33.86239096,2.90273719,0
0.00119512,265.93219473,265.92778951,34.07221049,2.73542817,0
0.00130653,265.68295045,265.65001821,34.34998179,2.84474884,0
0.00142832,265.43368223,265.42071225,34.57928775,2.68299208,0
0.00156147,265.18439210,265.17177413,34.82822587,2.92512600,0
0.00170702,264.93508194,264.89930773,35.10069227,2.83694661,0
0.00186615,264.68575345,264.66608762,35.33391238,2.64514454,0
0.00204010,264.43640818,264.42780998,35.57219002,2.20985652,0
0.00223028,264.18704758,264.27218008,35.72781992,2.64035956,0
0.00243818,263.93767294,263.95716516,36.04283484,3.59844774,0
0.00266546,263.68828546,263.63075578,36.36924422,2.95311575,0
0.00291393,263.43888625,263.43077146,36.56922854,2.10970696,0
0.00318556,263.18947629,263.25469993,36.74530007,2.80660927,0
0.00348251,262.94005650,262.93049258,37.06950742,3.36422875,0
0.00380714,262.69062772,262.65502523,37.34497477,2.57623073,0
0.00416203,262.44119072,262.47127874,37.52872126,2.45372866,0
0.00455000,262.19174620,262.21764741,37.78235259,2.78242182,0
0.00497414,261.94229480,261.97531129,38.02468871,2.95907631,0
0.00543782,261.69283711,261.69019124,38.30980876,2.86555226,0
0.00594472,261.44337365,261.46452580,38.53547420,2.76628717,0
0.00649887,261.19390493,261.19709979,38.80290021,2.76446936,0
0.00710468,260.94443139,260.97175838,39.02824162,3.00145243,0
0.00776695,260.69495345,260.66209007,39.33790993,2.75689740,0
0.00849097,260.44547147,260.48034065,39.51965935,2.53332199,0
0.00928248,260.19598580,260.21052472,39.78947528,2.94544953,0
0.01014777,259.94649677,259.95531346,40.04468654,2.91962254,0
0.01109371,259.69700464,259.69010120,40.30989880,2.81812338,0
0.01212784,259.44750970,259.45298219,40.54701781,2.59214867,0
0.01325837,259.19801217,259.22804998,40.77195002,2.80923252,0
0.01449428,258.94851228,258.95223572,41.04776428,3.07967251,0
0.01584540,258.69901023,258.67909750,41.32090250,2.71647316,0
0.01732247,258.44950620,258.46802362,41.53197638,2.70619350,0
0.01893722,258.20000037,258.19671777,41.80328223,2.66968122,0
0.02070250,257.95049288,257.99215221,42.00784779,2.83613327,0
