TIME,FOPR_OPM,FOPR_ECLIPSE,FOPR_DIFF,FWPR_OPM,FWPR_ECLIPSE,FWPR_DIFF,FGPR_OPM,FGPR_ECLIPSE,FGPR_DIFF,FWIR_OPM,FWIR_ECLIPSE,FWIR_DIFF,FOPT_OPM,FOPT_ECLIPSE,FOPT_DIFF,FWPT_OPM,FWPT_ECLIPSE,FWPT_DIFF,FGPT_OPM,FGPT_ECLIPSE,FGPT_DIFF,FPR_OPM,FPR_ECLIPSE,FPR_DIFF
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.295950320000000033e+02,3.296081239999999752e+02,-1.309199999997190389e-02
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.295988159999999993e+02,3.296197809999999890e+02,-2.096499999998968633e-02
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.296031800000000089e+02,3.296307679999999891e+02,-2.758799999998018393e-02
4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.296078190000000063e+02,3.296401670000000195e+02,-3.234800000001314402e-02
5.100000000000000000e+01,1.927357790000000023e+03,1.927461669999999913e+03,-1.038799999998900603e-01,5.687243310000000308e-03,5.927532909999999947e-03,-2.402895999999996382e-04,3.054185000000000000e+05,3.053078119999999763e+05,1.106880000000237487e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.927357809999999881e+04,1.926505080000000089e+04,8.527299999997921987e+00,5.687243119999999680e-02,5.203000459999999883e-02,4.842426599999997971e-03,3.054185000000000000e+06,3.055593500000000000e+06,-1.408500000000000000e+03,3.252171329999999898e+02,3.252094119999999862e+02,7.721000000003641617e-03
5.700000000000000000e+01,1.929092409999999973e+03,1.929225339999999960e+03,-1.329299999999875581e-01,7.206448820000000040e-03,7.365403700000000206e-03,-1.589548800000001663e-04,3.048704689999999828e+05,3.048407189999999828e+05,2.975000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.084813279999999941e+04,3.084040230000000156e+04,7.730499999997846317e+00,1.001111269999999942e-01,9.622243049999999742e-02,3.888696499999996781e-03,4.883408000000000000e+06,4.884638000000000000e+06,-1.230000000000000000e+03,3.226486509999999726e+02,3.226328429999999798e+02,1.580799999999271677e-02
6.100000000000000000e+01,2.798607910000000174e+03,2.798704589999999826e+03,-9.667999999965104507e-02,1.401867619999999995e-02,1.424244419999999914e-02,-2.237679999999991898e-04,4.413777810000000172e+05,4.413543750000000000e+05,2.340600000001722947e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.204256250000000000e+04,4.203522269999999844e+04,7.339800000001559965e+00,1.561858359999999946e-01,1.531922069999999969e-01,2.993628999999997653e-03,6.648919000000000000e+06,6.650055500000000000e+06,-1.136500000000000000e+03,3.201865230000000224e+02,3.201655880000000138e+02,2.093500000000858563e-02
7.100000000000000000e+01,2.840662839999999960e+03,2.840457759999999780e+03,2.050800000001800072e-01,1.894749890000000173e-02,1.919472029999999899e-02,-2.472213999999972600e-04,4.461485000000000000e+05,4.460242500000000000e+05,1.242500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.044919530000000668e+04,7.042953119999999763e+04,1.966410000000905711e+01,3.456608059999999871e-01,3.338956530000000145e-01,1.176515299999997266e-02,1.111040400000000000e+07,1.111329300000000000e+07,-2.889000000000000000e+03,3.142490230000000224e+02,3.141685489999999845e+02,8.047400000003790410e-02
8.100000000000000000e+01,2.980245120000000043e+03,2.980364259999999831e+03,-1.191399999997884152e-01,2.480309080000000013e-02,2.501121350000000063e-02,-2.081227000000004934e-04,4.663180310000000172e+05,4.661353439999999828e+05,1.826870000000344589e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002516480000000010e+05,1.002228830000000016e+05,2.876499999999941792e+01,5.936917069999999574e-01,5.726486440000000400e-01,2.104306299999991747e-02,1.577358400000000000e+07,1.577754800000000000e+07,-3.964000000000000000e+03,3.083015139999999974e+02,3.081864320000000248e+02,1.150819999999725951e-01
9.100000000000000000e+01,2.065131350000000111e+03,2.065308840000000146e+03,-1.774900000000343425e-01,1.779652950000000164e-02,1.778402739999999926e-02,1.250210000000237520e-05,3.223754380000000237e+05,3.222011250000000000e+05,1.743130000000237487e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.209029609999999957e+05,1.208685779999999941e+05,3.438300000000162981e+01,7.716570499999999555e-01,7.437577840000000329e-01,2.789926599999992263e-02,1.899733800000000000e+07,1.900170400000000000e+07,-4.366000000000000000e+03,3.045976870000000076e+02,3.044853519999999776e+02,1.123350000000300497e-01
1.010000000000000000e+02,2.931242679999999837e+03,2.932014889999999923e+03,-7.722100000000864384e-01,3.093787279999999848e-02,3.093184900000000084e-02,6.023799999997636601e-06,4.562561880000000237e+05,4.559950939999999828e+05,2.610940000000409782e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.502153910000000033e+05,1.501806250000000000e+05,3.476600000000325963e+01,1.081035729999999973e+00,1.042760130000000007e+00,3.827559999999996521e-02,2.355990000000000000e+07,2.356379600000000000e+07,-3.896000000000000000e+03,2.991155400000000100e+02,2.989893490000000043e+02,1.261910000000057153e-01
1.110000000000000000e+02,2.215690669999999955e+03,2.216618649999999889e+03,-9.279799999999340798e-01,2.437528409999999840e-02,2.420722130000000152e-02,1.680627999999968758e-04,3.442118119999999763e+05,3.440375310000000172e+05,1.742809999999590218e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.723722969999999914e+05,1.723419059999999881e+05,3.039100000000325963e+01,1.324788569999999943e+00,1.280402540000000089e+00,4.438602999999985421e-02,2.700201800000000000e+07,2.700510000000000000e+07,-3.082000000000000000e+03,2.952959290000000010e+02,2.951806950000000143e+02,1.152339999999867359e-01
1.210000000000000000e+02,2.235848880000000008e+03,2.236901609999999891e+03,-1.052729999999883148e+00,2.449285979999999904e-02,2.411610070000000036e-02,3.767590999999986812e-04,3.466134060000000172e+05,3.464250000000000000e+05,1.884060000000172295e+02,2.229407960000000003e+03,2.229407960000000003e+03,0.000000000000000000e+00,1.947307809999999881e+05,1.947018910000000033e+05,2.888999999998486601e+01,1.569717170000000106e+00,1.522684219999999922e+00,4.703295000000018433e-02,3.046815200000000000e+07,3.047106200000000000e+07,-2.910000000000000000e+03,2.947402950000000033e+02,2.947036130000000185e+02,3.668199999998478233e-02
1.310000000000000000e+02,3.149181880000000092e+03,3.150661129999999957e+03,-1.479249999999865395e+00,3.172648329999999683e-02,3.114010019999999962e-02,5.863830999999972149e-04,4.866173750000000000e+05,4.863352189999999828e+05,2.821560000000172295e+02,6.739487790000000132e+03,6.739487790000000132e+03,0.000000000000000000e+00,2.262111410000000033e+05,2.261915309999999881e+05,1.961000000001513399e+01,1.897836800000000101e+00,1.850516679999999914e+00,4.732012000000018759e-02,3.533644800000000000e+07,3.533757600000000000e+07,-1.128000000000000000e+03,2.987718510000000265e+02,2.987730099999999993e+02,-1.158999999972820660e-03
1.410000000000000000e+02,4.258164060000000063e+03,4.260463380000000143e+03,-2.299320000000079744e+00,4.321371759999999979e-02,4.235263909999999882e-02,8.610785000000009681e-04,6.556602500000000000e+05,6.552232500000000000e+05,4.370000000000000000e+02,7.174751949999999852e+03,7.174751949999999852e+03,0.000000000000000000e+00,2.687927810000000172e+05,2.687708439999999828e+05,2.193700000003445894e+01,2.329973939999999910e+00,2.282948489999999886e+00,4.702545000000002418e-02,4.189304800000000000e+07,4.189474000000000000e+07,-1.692000000000000000e+03,3.006589050000000043e+02,3.007131959999999822e+02,-5.429099999997788473e-02
1.510000000000000000e+02,5.012286619999999857e+03,5.015301760000000286e+03,-3.015140000000428699e+00,5.280131469999999744e-02,5.185298990000000025e-02,9.483247999999971922e-04,7.693036879999999655e+05,7.687068750000000000e+05,5.968129999999655411e+02,7.340928219999999783e+03,7.340927730000000338e+03,4.899999994449899532e-04,3.189156560000000172e+05,3.188976880000000237e+05,1.796799999999348074e+01,2.857987169999999910e+00,2.802319769999999988e+00,5.566739999999992250e-02,4.958608800000000000e+07,4.958701200000000000e+07,-9.240000000000000000e+02,3.010287169999999719e+02,3.010815729999999917e+02,-5.285600000001977605e-02
1.610000000000000000e+02,3.816601070000000163e+03,3.818829830000000129e+03,-2.228759999999965657e+00,3.745619580000000143e-02,3.654179350000000270e-02,9.144022999999987245e-04,5.846215620000000345e+05,5.841758750000000000e+05,4.456870000000344589e+02,5.334240230000000338e+03,5.334239749999999731e+03,4.800000006071059033e-04,3.570816560000000172e+05,3.570759689999999828e+05,5.687000000034458935e+00,3.232548949999999977e+00,3.168059350000000052e+00,6.448959999999992476e-02,5.543230400000000000e+07,5.543078000000000000e+07,1.524000000000000000e+03,3.009501650000000268e+02,3.009841920000000073e+02,-3.402699999998048952e-02
