TIME,WOPR_P-F-14_ECLIPSE,WOPR_P-F-14_OPM,WOPR_P-F-12_ECLIPSE,WOPR_P-F-12_OPM,WOPR_P-F-11B_ECLIPSE,WOPR_P-F-11B_OPM,WOPR_P-F-15D_ECLIPSE,WOPR_P-F-15D_OPM,WBHP_P-F-14_ECLIPSE,WBHP_P-F-14_OPM,WBHP_P-F-12_ECLIPSE,WBHP_P-F-12_OPM,WBHP_P-F-11B_ECLIPSE,WBHP_P-F-11B_OPM,WBHP_P-F-15D_ECLIPSE,WBHP_P-F-15D_OPM,WWCT_P-F-14_ECLIPSE,WWCT_P-F-14_OPM,WWCT_P-F-12_ECLIPSE,WWCT_P-F-12_OPM,WWCT_P-F-11B_ECLIPSE,WWCT_P-F-11B_OPM,WWCT_P-F-15D_ECLIPSE,WWCT_P-F-15D_OPM
11.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,296.988342,296.562378,312.131226,312.160187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,297.017273,296.574799,312.208221,312.178894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,297.040009,296.587097,312.179688,312.191772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,297.056061,296.597015,312.181122,312.201996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,-0.0,1927.46167,1927.35779,0.0,-0.0,0.0,-0.0,291.098358,290.988892,300.864166,301.32547,0.0,0.0,0.0,0.0,0.0,0.0,3.07529581e-06,2.95078917e-06,0.0,0.0,0.0,0.0
57.0,0.0,-0.0,1929.22534,1929.09241,0.0,-0.0,0.0,-0.0,288.396973,288.246002,298.030823,298.45163,0.0,0.0,0.0,0.0,0.0,0.0,3.81778909e-06,3.73565399e-06,0.0,0.0,0.0,0.0
61.0,0.0,-0.0,2798.70459,2798.60791,0.0,-0.0,0.0,-0.0,285.830109,285.672852,293.109802,293.557434,0.0,0.0,0.0,0.0,0.0,0.0,5.08891617e-06,5.00913529e-06,0.0,0.0,0.0,0.0
71.0,0.0,-0.0,2840.45776,2840.66284,0.0,-0.0,0.0,-0.0,279.724762,279.607391,286.638397,287.222321,0.0,0.0,0.0,0.0,0.0,0.0,6.75756928e-06,6.67005315e-06,0.0,0.0,0.0,0.0
81.0,0.0,-0.0,2980.36426,2980.24512,0.0,-0.0,0.0,-0.0,273.755035,273.622528,280.183655,280.821808,0.0,0.0,0.0,0.0,0.0,0.0,8.39192853e-06,8.32243131e-06,0.0,0.0,0.0,0.0
91.0,0.0,-0.0,2065.30884,2065.13135,0.0,-0.0,0.0,-0.0,270.263611,270.019501,279.114746,279.61377,0.0,0.0,0.0,0.0,0.0,0.0,8.61075841e-06,8.61755143e-06,0.0,0.0,0.0,0.0
101.0,0.0,-0.0,2932.01489,2931.24268,0.0,-0.0,0.0,-0.0,264.739868,264.4953,271.238678,271.869751,0.0,0.0,0.0,0.0,0.0,0.0,1.05495792e-05,1.05544132e-05,0.0,0.0,0.0,0.0
111.0,0.0,-0.0,2216.61865,2215.69067,0.0,-0.0,0.0,-0.0,261.106201,260.764496,269.451263,269.974213,0.0,0.0,0.0,0.0,0.0,0.0,1.09206685e-05,1.10010915e-05,0.0,0.0,0.0,0.0
121.0,0.0,-0.0,2236.90161,2235.84888,0.0,-0.0,0.0,-0.0,260.726166,260.310089,269.548218,269.890778,0.0,0.0,0.0,0.0,0.0,0.0,1.07809119e-05,1.09544935e-05,0.0,0.0,0.0,0.0
131.0,0.0,-0.0,3150.66113,3149.18188,0.0,-0.0,0.0,-0.0,265.418365,264.80719,272.606903,272.995209,0.0,0.0,0.0,0.0,0.0,0.0,9.88357442e-06,1.00744146e-05,0.0,0.0,0.0,0.0
