CASE,METRIC,BASE_VALUE,CASE_VALUE,DELTA,DELTA_PERCENT
sens_fault_low,FOPT,9977761.0,9969687.0,-8074.0,-0.08091995789436127
sens_fault_low,FWPT,15566696.0,15577364.0,10668.0,0.06853092011304134
sens_fault_low,FGPT,1441851260.0,1440755460.0,-1095800.0,-0.07599951745369353
sens_fault_low,FPR,338.657196,337.970215,-0.686981000000003,-0.20285439320769755
sens_fault_low,WOPT:P-F-12,4204482.5,4200238.5,-4244.0,-0.10093988974861948
sens_fault_low,WWPT:P-F-12,7369815.0,7375708.5,5893.5,0.07996808603743785
sens_fault_high,FOPT,9977761.0,9978320.0,559.0,0.005602459309257859
sens_fault_high,FWPT,15566696.0,15565812.0,-884.0,-0.00567879015559885
sens_fault_high,FGPT,1441851260.0,1441961600.0,110340.0,0.007652661759299638
sens_fault_high,FPR,338.657196,340.302277,1.6450810000000047,0.4857658480110975
sens_fault_high,WOPT:P-F-12,4204482.5,4205861.5,1379.0,0.03279832892633041
sens_fault_high,WWPT:P-F-12,7369815.0,7367830.5,-1984.5,-0.026927405911817325
sens_f12perm_low,FOPT,9977761.0,9938471.0,-39290.0,-0.39377571781885734
sens_f12perm_low,FWPT,15566696.0,15626189.0,59493.0,0.3821812926776498
sens_f12perm_low,FGPT,1441851260.0,1435305470.0,-6545790.0,-0.45398510800621694
sens_f12perm_low,FPR,338.657196,337.65625,-1.000945999999999,-0.2955631865563545
sens_f12perm_low,WOPT:P-F-12,4204482.5,4224729.5,20247.0,0.4815574806174125
sens_f12perm_low,WWPT:P-F-12,7369815.0,7340258.0,-29557.0,-0.40105484330339364
sens_f12perm_high,FOPT,9977761.0,10009090.0,31329.0,0.31398827853262873
sens_f12perm_high,FWPT,15566696.0,15520051.0,-46645.0,-0.2996461162985389
sens_f12perm_high,FGPT,1441851260.0,1446862720.0,5011460.0,0.3475712189619337
sens_f12perm_high,FPR,338.657196,339.453766,0.7965699999999742,0.2352142548301186
sens_f12perm_high,WOPT:P-F-12,4204482.5,4188980.75,-15501.75,-0.3686957907423803
sens_f12perm_high,WWPT:P-F-12,7369815.0,7393326.5,23511.5,0.31902429029765333
sens_northpv_low,FOPT,9977761.0,9909807.0,-67954.0,-0.6810545973189777
sens_northpv_low,FWPT,15566696.0,15660267.0,93571.0,0.6010973683818326
sens_northpv_low,FGPT,1441851260.0,1432911620.0,-8939640.0,-0.6200112485943938
sens_northpv_low,FPR,338.657196,338.69043,0.0332339999999931,0.00981346340563013
sens_northpv_low,WOPT:P-F-12,4204482.5,4202876.0,-1606.5,-0.03820922075427832
sens_northpv_low,WWPT:P-F-12,7369815.0,7372184.0,2369.0,0.032144633209924535
sens_northpv_high,FOPT,9977761.0,10039121.0,61360.0,0.6149676265045836
sens_northpv_high,FWPT,15566696.0,15482119.0,-84577.0,-0.5433201753281492
sens_northpv_high,FGPT,1441851260.0,1449952770.0,8101510.0,0.5618825065215118
sens_northpv_high,FPR,338.657196,338.639923,-0.01727299999998877,-0.0051004379071244565
sens_northpv_high,WOPT:P-F-12,4204482.5,4205806.5,1324.0,0.031490201231661685
sens_northpv_high,WWPT:P-F-12,7369815.0,7367864.5,-1950.5,-0.026466064616275986
