CASE,TIME,FOPT,FWPT,FGPT,FPR,FOPR,FWPR,WOPR:P-F-12,WWCT:P-F-12,WBHP:P-F-12,WOPT:P-F-12,WWPT:P-F-12
BASE,11.0,0.0,0.0,0.0,329.595032,0.0,0.0,-0.0,0.0,312.160187,0.0,0.0
BASE,21.0,0.0,0.0,0.0,329.598816,0.0,0.0,-0.0,0.0,312.178894,0.0,0.0
BASE,31.0,0.0,0.0,0.0,329.60318,0.0,0.0,-0.0,0.0,312.191772,0.0,0.0
BASE,41.0,0.0,0.0,0.0,329.607819,0.0,0.0,-0.0,0.0,312.201996,0.0,0.0
BASE,51.0,19273.5781,0.0568724312,3054185.0,325.217133,1927.35779,0.00568724331,1927.35779,2.95078917e-06,301.32547,19273.5781,0.0568724312
BASE,57.0,30848.1328,0.100111127,4883408.0,322.648651,1929.09241,0.00720644882,1929.09241,3.73565399e-06,298.45163,30848.1328,0.100111127
BASE,61.0,42042.5625,0.156185836,6648919.0,320.186523,2798.60791,0.0140186762,2798.60791,5.00913529e-06,293.557434,42042.5625,0.156185836
BASE,71.0,70449.1953,0.345660806,11110404.0,314.249023,2840.66284,0.0189474989,2840.66284,6.67005315e-06,287.222321,70449.1953,0.345660806
BASE,81.0,100251.648,0.593691707,15773584.0,308.301514,2980.24512,0.0248030908,2980.24512,8.32243131e-06,280.821808,100251.648,0.593691707
BASE,91.0,120902.961,0.77165705,18997338.0,304.597687,2065.13135,0.0177965295,2065.13135,8.61755143e-06,279.61377,120902.961,0.77165705
BASE,101.0,150215.391,1.08103573,23559900.0,299.11554,2931.24268,0.0309378728,2931.24268,1.05544132e-05,271.869751,150215.391,1.08103573
BASE,111.0,172372.297,1.32478857,27002018.0,295.295929,2215.69067,0.0243752841,2215.69067,1.10010915e-05,269.974213,172372.297,1.32478857
BASE,121.0,194730.781,1.56971717,30468152.0,294.740295,2235.84888,0.0244928598,2235.84888,1.09544935e-05,269.890778,194730.781,1.56971717
BASE,131.0,226211.141,1.8978368,35336448.0,298.771851,3149.18188,0.0317264833,3149.18188,1.00744146e-05,272.995209,226211.141,1.8978368
BASE,141.0,268792.781,2.32997394,41893048.0,300.658905,4258.16406,0.0432137176,4258.16406,1.01483365e-05,272.471161,268792.781,2.32997394
BASE,151.0,318915.656,2.85798717,49586088.0,301.028717,5012.28662,0.0528013147,5012.28662,1.05342651e-05,270.821625,318915.656,2.85798717
BASE,161.0,357081.656,3.23254895,55432304.0,300.950165,3816.60107,0.0374561958,3816.60107,9.81392259e-06,273.669495,357081.656,3.23254895
BASE,166.0,381924.375,3.49785376,59233620.0,300.481415,4968.54199,0.0530609526,4968.54199,1.06792668e-05,270.10321,381924.375,3.49785376
BASE,171.0,406777.094,3.76754594,63032868.0,300.014099,4970.54492,0.0539384335,4970.54492,1.0851496e-05,269.380188,406777.094,3.76754594
BASE,181.0,456115.594,4.28631783,70562712.0,300.790588,4933.84814,0.0518771969,4933.84814,1.051444e-05,270.432404,456115.594,4.28631783
BASE,191.0,504994.219,4.76229286,78011696.0,302.816406,4887.86426,0.0475974903,4887.86426,9.73779606e-06,273.03775,504994.219,4.76229286
BASE,192.0,509883.5,4.80796528,78766264.0,302.377594,4889.27295,0.0456722714,3540.27979,9.06955484e-06,275.767914,508534.5,4.79440212
BASE,201.0,553879.688,5.26104212,85558296.0,298.520782,4888.31152,0.0516420156,3541.48877,1.02781987e-05,271.047791,540405.75,5.11341953
BASE,211.0,611749.812,5.86211634,94576792.0,299.206909,5787.00928,0.0601074547,3127.59766,9.65067557e-06,273.279388,571681.688,5.41525698
BASE,221.0,660668.938,6.34492493,102217944.0,299.518433,4891.91846,0.048280824,2377.78003,8.944201e-06,275.774139,595459.5,5.62793207
BASE,231.0,735863.25,7.23496103,113908232.0,294.908905,7519.42578,0.0890036374,4137.87061,1.13516908e-05,266.051697,636838.188,6.09765577
BASE,241.0,781882.375,7.7116375,120990208.0,296.889313,4601.91602,0.0476676188,3211.92017,1.00709285e-05,270.727051,668957.438,6.42112923
BASE,251.0,802433.125,7.89188385,124180600.0,300.061615,2055.07153,0.018024629,1034.28711,7.72027215e-06,279.542175,679300.25,6.5009799
BASE,261.0,865867.625,8.66686344,134061000.0,292.109375,6343.4541,0.0774980187,2737.26685,1.11996378e-05,265.874115,706672.938,6.80754709
BASE,271.0,945212.062,9.91809654,146151904.0,282.897888,7934.44141,0.125123233,3193.25708,1.39547901e-05,254.915665,738605.5,7.25316572
BASE,281.0,1024136.0,11.2326527,158106336.0,280.380463,7892.39258,0.131455615,3146.29175,1.43912412e-05,253.063278,770068.438,7.70596266
BASE,291.0,1092084.75,12.3203564,168421888.0,280.687836,6794.15771,0.107861735,2721.7085,1.37723428e-05,255.277756,797278.0,8.08309555
BASE,301.0,1166351.38,13.4411688,179752672.0,283.845062,7426.66309,0.112081267,3040.56079,1.32107825e-05,257.093414,827683.625,8.48478222
BASE,311.0,1247919.25,14.6386948,192190176.0,285.015656,8156.79102,0.119752571,3904.0166,1.34244438e-05,255.758942,866723.75,9.00888252
BASE,321.0,1331225.75,15.7849064,204874992.0,287.707336,8330.64746,0.114621207,5019.58154,1.33684398e-05,255.368744,916919.562,9.67993069
BASE,331.0,1414019.12,16.8597775,217485344.0,289.68869,8279.34668,0.107487038,4934.5332,1.26709238e-05,257.704926,966264.938,10.3051901
BASE,341.0,1495658.75,17.7560921,229929056.0,296.808533,8163.96143,0.0896314383,4916.94531,1.07327642e-05,264.561096,1015434.38,10.8329191
BASE,351.0,1583016.75,18.6341171,243182992.0,301.715576,8743.87305,0.0853337273,5193.99072,9.48260185e-06,268.569,1067368.5,11.3415985
BASE,354.0,1609626.88,18.8841782,247200896.0,303.334015,8870.06445,0.0833536312,5414.73779,9.16340559e-06,269.523712,1083612.75,11.4904528
BASE,355.0,1618499.12,18.9662971,248539904.0,303.873322,8872.14941,0.0821189284,5414.90332,9.02051033e-06,270.018372,1089027.62,11.5392981
BASE,361.0,1671771.0,19.4249878,256566640.0,307.084259,8881.36816,0.0745599568,5414.9209,8.14246141e-06,273.101685,1121517.12,11.8110018
BASE,371.0,1759649.88,20.083931,269749984.0,311.546722,8791.11621,0.063305907,5519.8999,6.98110171e-06,277.01413,1176718.5,12.2129622
BASE,381.0,1846593.38,20.6027012,282745632.0,316.167542,8694.34277,0.0518770702,5432.03906,5.69960321e-06,281.643951,1231038.88,12.5225687
BASE,391.0,1933811.75,21.01437,295788800.0,321.576019,8721.84473,0.0411669165,4320.6167,3.92422544e-06,289.930481,1274245.0,12.6921196
BASE,401.0,2016600.0,21.341814,308116288.0,324.542694,8278.82422,0.0327443667,4610.09912,3.46762249e-06,292.105896,1320346.0,12.8519812
BASE,411.0,2097770.0,21.6070862,320177152.0,328.378632,8117.00635,0.0265272316,4223.22217,2.7163544e-06,296.818207,1362578.25,12.9666996
BASE,421.0,2182980.5,21.8299961,332801920.0,333.830872,8521.03125,0.0222909283,4249.78613,2.00313684e-06,301.76947,1405076.12,13.0518284
BASE,429.0,2248697.25,21.9727345,342510848.0,337.985229,8214.59473,0.01784252,4161.79492,1.76243816e-06,305.971832,1438370.5,13.110508
BASE,431.0,2265131.5,22.0078259,344937536.0,339.025391,8217.18262,0.0175454393,4162.56445,1.78296682e-06,306.953949,1446695.62,13.125351
BASE,441.0,2330326.0,2491.68018,354526720.0,329.052002,6516.8623,245.33107,3455.75464,4.42748387e-06,298.075775,1481258.5,13.2492409
BASE,451.0,2402826.75,2492.49048,365369632.0,310.731354,7250.06934,0.0810190737,3096.58691,1.0935697e-05,280.858673,1512224.38,13.5878782
BASE,461.0,2446747.5,2493.05103,371890816.0,308.960815,4392.08887,0.0560608394,2453.90723,1.34670972e-05,280.803314,1536763.5,13.9183531
BASE,471.0,2517109.75,2494.92334,382342752.0,299.438965,7036.20801,0.187238812,5194.28223,3.05269532e-05,263.141968,1588706.38,15.5040569
BASE,481.0,2592215.0,2498.36108,393482656.0,292.243713,7510.54248,0.343765646,4815.29248,5.9087095e-05,256.453766,1636859.25,18.3494415
BASE,491.0,2670678.25,2505.09351,405068736.0,291.395325,7846.31348,0.673237264,4264.76807,9.72346897e-05,256.914093,1679506.88,22.4966793
BASE,501.0,2746378.5,2599.71606,416222592.0,296.298187,7570.02148,9.46225739,4054.81104,0.000153109562,262.87204,1720055.0,28.7059326
BASE,511.0,2835181.5,3151.66479,429309792.0,301.602783,8880.30371,55.1948814,4845.91992,0.000395760086,265.897369,1768514.25,47.8917427
BASE,521.0,2923781.5,4125.22705,442366336.0,302.383209,8860.0127,97.3562317,5180.88184,0.00108502212,265.500488,1820323.0,104.166519
BASE,531.0,3003885.75,5194.31201,454199456.0,294.992676,8010.40918,106.908493,4793.82227,0.00203013862,258.769745,1868261.25,201.68573
BASE,541.0,3078115.5,6388.65137,465159616.0,290.413605,7422.97314,119.433914,4417.60498,0.00306101539,254.790054,1912437.38,337.324493
BASE,551.0,3140480.75,19724.4004,474170976.0,290.065857,6236.52588,1333.57483,2849.49316,0.00285053905,258.105774,1940932.25,418.782593
BASE,561.0,3201414.25,28689.4297,483042752.0,289.864197,6091.63135,899.621582,3281.99097,0.00306563638,256.87027,1973754.25,517.833618
BASE,571.0,3259058.25,34015.625,491475072.0,296.564911,5764.40723,532.619385,3405.47021,0.00357021927,264.509766,2007808.88,639.852051
BASE,581.0,3316584.5,36206.7422,499878240.0,307.862518,5752.62305,219.111786,3529.06445,0.00467276946,275.997589,2043099.5,805.53125
BASE,591.0,3384292.0,39229.7266,509816736.0,305.549774,6770.75928,302.298492,3376.41919,0.0061226734,274.243134,2076863.75,1013.53192
BASE,601.0,3474751.25,44426.7734,523120256.0,305.704041,9045.92285,519.704773,4722.53955,0.010897317,267.44635,2124089.25,1533.83191
BASE,611.0,3535596.25,49771.0703,532043840.0,310.495667,6084.48535,534.429626,2595.69409,0.0138484966,280.897369,2150046.0,1898.34436
BASE,621.0,3584674.75,54549.543,539231616.0,314.925476,4907.86328,477.847321,2584.87988,0.0171075761,285.811707,2175895.0,2348.25146
BASE,631.0,3672627.25,64405.125,552173696.0,317.136017,8795.24512,985.558105,4227.16211,0.028481083,279.2948,2218166.5,3587.48779
BASE,641.0,3714536.75,69810.3672,558318080.0,318.518158,4190.94434,540.523865,2317.2041,0.032800518,289.620087,2241338.5,4373.31836
BASE,651.0,3791870.75,80282.6875,569702208.0,320.26709,7733.4043,1047.2323,4468.18066,0.0528463088,278.90741,2286020.25,6866.3335
BASE,661.0,3861277.25,91572.0781,579927552.0,318.014099,6940.65283,1128.93896,3816.18018,0.0771770179,277.658234,2324182.25,10057.8604
BASE,671.0,3927397.75,105078.656,589661248.0,320.63916,6612.04004,1350.65808,3547.66309,0.109222949,279.845581,2359658.75,14407.8398
BASE,681.0,4001737.5,123297.93,600619712.0,320.367065,7433.99609,1821.927,4025.19214,0.151273027,274.103333,2399910.75,21582.1484
BASE,691.0,4076639.0,144622.016,611664832.0,320.273254,7430.99609,2217.63257,4012.31787,0.192696378,271.185272,2440390.5,30642.9531
BASE,701.0,4148175.5,171764.844,622197312.0,321.299927,7153.6333,2714.28271,4085.95142,0.225254819,269.21991,2481250.0,42522.7305
BASE,711.0,4225908.0,210468.531,633620288.0,321.390839,7773.26904,3870.37012,4493.81152,0.256956667,262.857056,2526188.25,58063.0742
BASE,721.0,4294901.0,246780.484,643757952.0,318.64502,6899.30469,3631.19409,3903.70142,0.281189233,263.245331,2565225.25,73333.8359
BASE,731.0,4368710.5,284085.562,654622784.0,316.848053,7380.91748,3730.50708,4209.23877,0.314012408,256.545044,2607317.5,92601.7266
BASE,741.0,4437505.5,323574.094,664735296.0,316.144836,6879.53955,3948.85352,4031.60889,0.341002464,255.0681,2647633.75,113463.539
BASE,751.0,4505022.0,367385.75,674647104.0,317.427917,6751.62354,4381.1665,3879.59155,0.370958954,255.600861,2686429.5,136342.312
