case,date,FOPT,FWPT,FOPR,FPR,candidate_well,WOPT,WOPR,WWPR,WWCT,WBHP
BASE,2016-10-01,9977761.0,15566696.0,0.0,338.6571960449219,,nan,nan,nan,nan,nan
BASE,2017-01-01,9977761.0,15566696.0,0.0,347.40478515625,,nan,nan,nan,nan,nan
BASE,2017-04-01,9977761.0,15566696.0,0.0,350.1997985839844,,nan,nan,nan,nan,nan
BASE,2017-07-01,9977761.0,15566696.0,0.0,351.49371337890625,,nan,nan,nan,nan,nan
BASE,2017-10-01,9977761.0,15566696.0,0.0,352.17657470703125,,nan,nan,nan,nan,nan
BASE,2018-01-01,9977761.0,15566696.0,0.0,352.5634765625,,nan,nan,nan,nan,nan
BASE,2018-04-01,9977761.0,15566696.0,0.0,352.7987365722656,,nan,nan,nan,nan,nan
BASE,2018-07-01,9977761.0,15566696.0,0.0,352.97088623046875,,nan,nan,nan,nan,nan
BASE,2018-10-01,9977761.0,15566696.0,0.0,353.0867919921875,,nan,nan,nan,nan,nan
BASE,2019-01-01,9977761.0,15566696.0,0.0,353.1678771972656,,nan,nan,nan,nan,nan
BASE,2019-04-01,9977761.0,15566696.0,0.0,353.2242736816406,,nan,nan,nan,nan,nan
BASE,2019-07-01,9977761.0,15566696.0,0.0,353.26373291015625,,nan,nan,nan,nan,nan
BASE,2019-10-01,9977761.0,15566696.0,0.0,353.29559326171875,,nan,nan,nan,nan,nan
BASE,2020-01-01,9977761.0,15566696.0,0.0,353.31976318359375,,nan,nan,nan,nan,nan
BASE,2020-04-01,9977761.0,15566696.0,0.0,353.3398742675781,,nan,nan,nan,nan,nan
BASE,2020-07-01,9977761.0,15566696.0,0.0,353.35711669921875,,nan,nan,nan,nan,nan
BASE,2020-10-01,9977761.0,15566696.0,0.0,353.37261962890625,,nan,nan,nan,nan,nan
BASE,2021-01-01,9977761.0,15566696.0,0.0,353.3827209472656,,nan,nan,nan,nan,nan
BASE,2021-04-01,9977761.0,15566696.0,0.0,353.39434814453125,,nan,nan,nan,nan,nan
BASE,2021-07-01,9977761.0,15566696.0,0.0,353.39990234375,,nan,nan,nan,nan,nan
BASE,2021-10-01,9977761.0,15566696.0,0.0,353.4078063964844,,nan,nan,nan,nan,nan
A,2016-10-01,9977761.0,15566696.0,0.0,338.6571960449219,INF-A,0.0,-0.0,-0.0,0.0,0.0
A,2017-01-01,10025088.0,15648597.0,240.61032104492188,318.0520324707031,INF-A,47326.2421875,240.61032104492188,734.4329833984375,0.7532311677932739,300.0
A,2017-04-01,10036276.0,15695218.0,100.40748596191406,312.9503173828125,INF-A,58514.546875,100.40748596191406,457.69744873046875,0.8200920820236206,300.0
A,2017-07-01,10041538.0,15725243.0,48.54010772705078,310.4322204589844,INF-A,63776.79296875,48.54010772705078,297.3816223144531,0.8596789240837097,300.0
